"Filename","Google_Photos_Link","GPSLatitude","GPSLongitude","Survey_run"
"IMG_0109_D","https://photos.google.com/photo/AF1QipOTuaXQGjW04tvHmnhxXk-01zPqN4BN2HzLjwVP",55.9034,-4.2852,"D"
"IMG_0110_D","https://photos.google.com/photo/AF1QipORwmQac0dLGH9RmcwCjKJRGLlKR21KMzdpJNfA",55.9028,-4.2864,"D"
"IMG_0111_D","https://photos.google.com/photo/AF1QipNQCvplHTVT9wsP-Wis_Yiw_JxEwnJ82E6KGhXG",55.9023,-4.2867,"D"
"IMG_0112_D","https://photos.google.com/photo/AF1QipOox1SoqYLWzcs5iucJJf9t8GXLeUAI5LeXd4S3",55.9023,-4.2857,"D"
"IMG_0113_D","https://photos.google.com/photo/AF1QipMQkN9hznswv5WH7l42o9RblHZT_wnoIOex7W9E",55.9022,-4.2867,"D"
"IMG_0114_D","https://photos.google.com/photo/AF1QipPgL4YS7cqKtixv0UeOHoHVDeb8JIj3Ob8e9MUh",55.901,-4.2868,"D"
"IMG_0115_D","https://photos.google.com/photo/AF1QipNqclyCFldg57zzBlQhJGld9pKYvTP1yw69pquo",55.9014,-4.2867,"D"
"IMG_0116_D","https://photos.google.com/photo/AF1QipNOyw2OfXbj5zAYClHokoWMrgeNzh0pteaXRK4B",55.9022,-4.2886,"D"
"IMG_0117_D","https://photos.google.com/photo/AF1QipNmESR0j360h8ljbptnqh8YlVhKyyiVXSCdb9ES",55.9023,-4.2887,"D"
"IMG_0118_D","https://photos.google.com/photo/AF1QipNRhFu9MNULElKpsIfVSsUm8lKR08wflfB0MoAR",55.9026,-4.2889,"D"
"IMG_0119_D","https://photos.google.com/photo/AF1QipMYINfiXX0N6EGjA9EjtfTJzVAbnR_eMPU0oWXw",55.9031,-4.2886,"D"
"IMG_0120_D","https://photos.google.com/photo/AF1QipM9H5jOxAWpWxAwigk9XTkilsxbaLn0ztyZueJ0",55.9019,-4.2894,"D"
"IMG_0121_D","https://photos.google.com/photo/AF1QipMs6i0epVXVhJ3s7RH2TtDsMa1RZ9GXpArIYNEY",55.9014,-4.2896,"D"
"IMG_0122_D","https://photos.google.com/photo/AF1QipMiAgy9DeruxDuUMSPyfz1Rv41-DMSgm63wZwL-",55.9012,-4.2894,"D"
"IMG_0123_D","https://photos.google.com/photo/AF1QipNaGmQ1dRQRvGVkDi97vnEIvugTTjTYEt2Rwwuw",55.9013,-4.289,"D"
"IMG_0129_E","https://photos.google.com/photo/AF1QipPlU6vrHDqt6si6NO24gc_bv2xnpIUuO1499PWc",55.9035,-4.2895,"E"
"IMG_0130_E","https://photos.google.com/photo/AF1QipN55zyLHbm0mVjrJ9u8JZ3BKSf4x_QWQybmTSIy",55.9036,-4.2895,"E"
"IMG_0131_E","https://photos.google.com/photo/AF1QipO7fS5iSRiE5RYOoRoY2fRmepEHCwgjcI1cKifS",55.9038,-4.2884,"E"
"IMG_0132_E","https://photos.google.com/photo/AF1QipM-Nx9PSVzWJmwwbbsufYCdORnch1jWpjbGLvwO",55.9045,-4.2879,"E"
